10/18/2017, , ,71.6,Damian Lillard,PG,"$10,400 ", , ,POR,@PHX,52.5,71.8,33.2,2.43,5,32.65,39.7,17,20,50.07,1.63,23.1,34.2,12,1,95%,0.18,-5.4,-0.4&nbsp;Richardson,  Scott,  Spooner, , , , ,2A,1,112.5,105,-0.8,-7.5,217.5,57,53.5,$200 ,100%,0%,0%,1,59.5,2.9,$200 ,82%,48%,17%,91
10/18/2017, , ,70.5,Jimmy Butler,SG,"$8,100 ", , ,MIN,@SAS,40,54,26,1.43,4.9,22.66,38,5,8,38.57,1.01, , ,6,1,55%,-1.07,1.2,-0.2&nbsp;Guthrie,  Taylor,  Zarba, , , , , , ,112,105.5,0.7,-6.5,217.5,49, , ,&nbsp;,&nbsp;,&nbsp;, ,35.7,3.4,$0 ,81%,44%,18%,90
10/18/2017, , ,82.5,Karl-Anthony Towns,C,"$9,400 ", , ,MIN,@SAS,47.1,66.8,27.4,2.03,5,23.96,37.9,13,16,45.07,0.89, , ,10,1,4%, ,-2.6,-0.2&nbsp;Goldenberg,  Lindsay,  Washington, , , , ,2H,1,103.3,100.8,-2.7,-2.5,204,50,32.5,$200 ,100%,100%,0%,1,32.5,15,$200 ,100%,100%,0%,1
10/18/2017, , ,71.7,Andrew Wiggins,SF/PF,"$6,000 ", , ,MIN,@SAS,29.8,46.6,13,1.74,5,23.91,37.2,5,8,28.06,1.01, , ,2,1,31%,3.97,-5.4,-0.4&nbsp;Richardson,  Scott,  Spooner, , , , ,2A,1,112.5,105,-0.8,-7.5,217.5,57, ,$0 ,&nbsp;,&nbsp;,&nbsp;, ,18,2.7,$0 ,86%,51%,13%,74
10/18/2017, , ,71.15,John Wall,PG,"$9,800 ", , ,WAS,PHI,49.6,66.8,32.4,2.53,5.1,32.25,36.3,17,20,47.07,0, , ,0,1,31%, ,-2.6,-0.2&nbsp;Goldenberg,  Lindsay,  Washington, , , , ,2H,1,103.3,100.8,-2.7,-2.5,204,50,0,$0 ,0%,0%,100%,1,0,-13,$0 ,0%,0%,100%,1
10/18/2017, , ,62.65,Giannis Antetokounmpo,PG/SF,"$10,300 ", , ,MIL,@BOS,51,68.3,33.7,1.43,5,29.42,36.3,13,16,49.57,0.84,24.21,29.8,5,1,66%,-1.92,-5.4,-0.4&nbsp;Richardson,  Scott,  Spooner, , , , ,2A,1,112.5,105,-0.8,-7.5,217.5,57,31.8,$200 ,100%,100%,0%,1,26.1,2.5,$200 ,83%,35%,16%,85
10/18/2017, , ,72.9,Kemba Walker,PG,"$7,900 ", , ,CHA,@DET,40.7,54.6,26.8,3.13,5.2,28.29,36.2,5,8,37.57,1.15,19.53,27.3,7,1,47%,3.97,-5.4,-0.4&nbsp;Richardson,  Scott,  Spooner, , , , ,2A,1,112.5,105,-0.8,-7.5,217.5,57,20,$200 ,100%,0%,0%,1,27.8,3.8,$200 ,80%,48%,19%,76
10/18/2017, , ,51.05,Anthony Davis,PF/C,"$10,500 ", , ,NOP,@MEM,48.1,66.8,29.4,-2.47,4.6,27.72,36,13,16,50.57,0.74,10.98,27.2,7,1,18%,-2.84,-2.6,-0.2&nbsp;Goldenberg,  Lindsay,  Washington, , , , ,2H,1,103.3,100.8,-2.7,-2.5,204,50,36,$200 ,100%,100%,0%,1,12.3,-1.7,$200 ,60%,22%,35%,94
10/18/2017, , ,52.15,Devin Booker,SG,"$7,000 ", , ,PHX,POR,33.2,48.6,17.8,0.14,4.7,28.09,35.6,5,8,33.06,1.17,24.58,24.1,12,1,13%,-2.48,-2.6,-0.2&nbsp;Goldenberg,  Lindsay,  Washington, , , , ,2H,1,103.3,100.8,-2.7,-2.5,204,50,50.5,$200 ,100%,100%,0%,1,41,3.4,$200 ,90%,47%,9%,84
10/18/2017, , ,72.3,Bradley Beal,SG,"$7,000 ", , ,WAS,PHI,35.8,49.4,22.2,2.74,5.1,27.93,35.3,5,8,33.06,0.86,6.68,23.5,8,1,55%,-3.14,-2.6,-0.2&nbsp;Goldenberg,  Lindsay,  Washington, , , , ,2H,1,103.3,100.8,-2.7,-2.5,204,50,34.8,$200 ,100%,100%,0%,1,26.2,2.5,$200 ,82%,30%,17%,96
